month,year,meme_id,image_path,related,event,meme,history,creator,tags,event_ua,meme_ua,history_ua,tags_ua
february,2022,war,images/war.jpg,war-and-peace;100-days-of-war;february,Putin declared war on Ukraine,War,,,2022;war,Путін оголосив війну Україні,Війна,,2022 рік;війни
february,2022,war-and-peace,images/war-and-peace.png,100-days-of-war;february;war,"Russian authorities forbade to call Russian invasion ""the war"". It's Special military operation",War and peace,"Probably, the famous Leo Tolstoy's novel ""War and peace"" should be renamed ""Special military operation and peace"" now",,war;special military operation,Російська влада заборонила називати російське вторгнення &quot;війною&quot;. Це спеціальна військова операція,Війна і мир,"Мабуть, відомий роман Льва Толстого «Війна і мир» тепер варто перейменувати на «Спецоперація і мир».",війни;військова спецоперація
february,2022,scale-of-ukrainian-heroism,images/scale-of-ukrainian-heroism.jpg,sleep-well-little-tank;every-morning;day-160;weakness;russian-tanks,"After several days, it became evident that Ukraine still holds",Scale of Ukrainian heroism,"This meme is comparing the size of two countries: Ukraine and Russia. Russia is visibly bigger; however, Ukraine's heroism helps it to withstand the attack.",,russia;resilience;Ukraine,"Через кілька днів стало зрозуміло, що Україна все ще тримається",Масштаби українського героїзму,Цей мем порівнює розміри двох країн: України та Росії. Росія помітно більша; проте героїзм України допомагає їй вистояти під натиском.,росія;стійкість;Україна
february,2022,ghost-of-kyiv,images/ghost-of-kyiv.png,orlando-bloom;kyiv-in-3-days;borodianka-cat;kyiv-air-defense;kyiv-is-angry;meteor-in-kyiv;biden-in-kyiv-4;attacks-on-kyiv,Russia was unable to establish air superiority in Ukraine when the war started,Ghost of Kyiv,Ghost of Kyiv is a nickname given to a mythical Ukrainian pilot credited with shooting down a number of Russian planes over Kyiv in the first days of the war.,,Kyiv;aircraft;airplanes;Ghost of Kyiv,"Росія не змогла встановити перевагу в повітрі в Україні, коли почалася війна",Привид Києва,"Привид Києва — це прізвисько, яке дали міфічному українському льотчику, якому приписують збиття кількох російських літаків над Києвом у перші дні війни.",Київ;літак;літаки;Привид Києва
february,2022,sunflower-seeds,images/sunflower-seeds.webp,,A Ukrainian woman told Russian soldier: ‘Put sunflower seeds in your pocket so they grow when you die’,Sunflower seeds,A viral video appeared showing a Ukrainian woman telling Russian soldiers to put seeds in their pockets so flowers will grow when they die in her country.,,sunflower;seeds;occupiers,"Українка сказала російському солдату: «Поклади соняшникове насіння в кишеню, щоб воно виросло, коли ти помреш»",Насіння соняшнику,"З&#39;явилося вірусне відео, на якому українка каже російським солдатам покласти насіння в кишені, щоб квіти росли, коли вони гинуть в її країні.",соняшник;насіння;окупанти
february,2022,mriya,images/mriya.webp,,Ukraine's legendary aircraft AN-225 Mriya destroyed by Russian invaders,Mriya,,,Mriya,Знищений російськими окупантами легендарний український літак АН-225 Мрія,Mriya,,Mriya
february,2022,palyanytsia,images/palyanytsia.jpg,,It has become essential to distinguish Ukrainians from Russian quickly and effectively,Palyanytsia,"Ukrainians used the word  “palyanytsia”  to learn a Russian from a Ukrainian.  Паляниця  or  Palyanytsia , is the Ukrainian word for a type of Ukrainian bread that is very easy for Ukrainians to pronounce. However, Russians cannot pronounce it well due to the differences in languages. This word is used as a test to tell if the person is from Ukraine or from Russia.",,palyanytsia,Швидко та ефективно відрізнити українців від росіян стало дуже важливо,Palyanytsia,"Українці використовували слово «паляниця», щоб навчитися російської мови в українця. Паляниця або Паляниця – це українське слово для позначення сорту українського хліба, який українцям дуже легко вимовляти. Однак росіяни погано його вимовляють через різницю в мовах. Це слово використовується як тест, щоб визначити, чи людина з України чи з Росії.",palyanytsia
february,2022,russian-warship-go-fck-yourself,images/russian-warship-go-fck-yourself.jpg,moskva;love-is;moskva-for-rent,"On Feb. 24, Russian missile war ship “Moscow” came close to Ukrainian Zmiiniy island with 13 border guards","Russian warship, go f*ck yourself","Russians ordered Ukrainians to surrender:  ""Snake Island, I, Russian warship, repeat the offer: put down your arms and surrender, or you will be bombed. Have you understood me? Do you copy?"" Ukrainian border guards answered:  “Russian warship, go f*ck yourself!”",One of Ukrainian border guards,russian warship,24 лютого російський ракетний корабель «Москва» з 13 прикордонниками наблизився до українського острова Зміїний,"Російський військовий корабель, іди до біса","Росіяни наказали українцям здаватися: «Острів Зміїний, я, російський військовий корабель, повторюю: складайте зброю і здайтеся, а то вас бомблять. Ви мене зрозуміли? Українські прикордонники відповіли: «Військовий корабель РФ, іди на х*й!»",російський військовий корабель
february,2022,the-simpsons-support-ukraine,images/the-simpsons-support-ukraine.jpg,,The Simpsons official account supported Ukraine on Feb. 26,The Simpsons support Ukraine,,The Simpsons,simpsons,Офіційний акаунт Сімпсонів підтримав Україну 26 лютого,Сімпсони підтримують Україну,,Сімпсони
february,2022,chocolate-anti-tank-hedgehogs,images/chocolate-anti-tank-hedgehogs.jpg,,The beginning of the war. Installation of hedgehogs in cities,Chocolate anti-tank hedgehogs,,,,Початок війни. Установка їжаків в містах,Шоколадні протитанкові їжачки,,
