image_path,question_type,question,variants,answer
images/war.jpg,event_ua,Про яку подію йдеться у цьому мемі?,"a) Однак Пригожин, мабуть, домовився з Путіним і вирішив повернути назад, незважаючи на те, що він дуже близький до Москви.
b) Путін оголосив війну Україні
c) США розпочали тренінги для українських військових з використання HIMARS
d) Олаф Шольц виступив проти постачання Україні ракет великої дальності Taurus",Путін оголосив війну Україні
images/war.jpg,event_ua,Про яку подію йдеться у цьому мемі?,"a) У бою загинуло 250 тисяч росіян
b) Путін оголосив війну Україні
c) Фінляндія вступила в НАТО
d) Росія готує масштабну провокацію на Запорізькій АЕС",Путін оголосив війну Україні
images/war.jpg,event_ua,Про яку подію йдеться у цьому мемі?,"a) Путін оголосив війну Україні
b) Після звільнення Київської області українські рятувальники врятували кота з верхніх поверхів зруйнованого будинку
c) Російська армія не змогла втримати позицій і відступила з острова Зміїний
d) Путін явно злякався після того, як Прогожин заявив про свої цілі",Путін оголосив війну Україні
images/war.jpg,event_ua,Про яку подію йдеться у цьому мемі?,"a) Путін оголосив війну Україні
b) У той же час, коли Орландо Блум відвідав Київ, Путін, імовірно, відвідав окупований Росією Маріуполь
c) Українські хлібороби вступили в боротьбу проти російської армії
d) У єгипетській Хургаді акула з&#39;їла росіянина",Путін оголосив війну Україні
images/war.jpg,event_ua,Про яку подію йдеться у цьому мемі?,"a) Такер Карлсон взяв інтерв&#39;ю у Володимира Путіна
b) Путін оголосив війну Україні
c) Росія починає бомбити українську цивільну інфраструктуру, сподіваючись, що Україна не переживе майбутню зиму
d) США заявили, що відправлять в Україну ракетні комплекси HIMARS",Путін оголосив війну Україні
images/war.jpg,event_ua,Про яку подію йдеться у цьому мемі?,"a) Путін оголосив війну Україні
b) В Україні ухвалили закон про скасування переходу на літній час
c) Офіційний акаунт Сімпсонів підтримав Україну 26 лютого
d) Київський блогер Йосип Гусак прикріпив плакат до автомобілів ООН на знак протесту проти безреагування ООН на руйнування Росією Каховської ГЕС",Путін оголосив війну Україні
images/war.jpg,event_ua,Про яку подію йдеться у цьому мемі?,"a) Черговий напад на Кримський міст
b) Екстремальна спека досягла України
c) Путін оголосив війну Україні
d) Російська армія показала свою слабкість",Путін оголосив війну Україні
images/war.jpg,event_ua,Про яку подію йдеться у цьому мемі?,"a) Путін оголосив війну Україні
b) Відступ російської армії з Харківщини
c) Російська влада наголосила, що мобілізація буде &quot;частковою&quot;
d) Росія не змогла встановити перевагу в повітрі в Україні, коли почалася війна",Путін оголосив війну Україні
images/war.jpg,event_ua,Про яку подію йдеться у цьому мемі?,"a) Виявилося, що російські військові копали окопи в Чорнобильській зоні
b) У бою загинуло 50 тис. російських військ
c) Путін оголосив війну Україні
d) Міжнародний кримінальний суд у Гаазі видав ордер на арешт Путіна",Путін оголосив війну Україні
images/war.jpg,event_ua,Про яку подію йдеться у цьому мемі?,"a) Спекотна погода трималася кілька тижнів
b) ЗСУ обстрілюють мости через Дніпро
c) У той же час, коли Орландо Блум відвідав Київ, Путін, імовірно, відвідав окупований Росією Маріуполь
d) Путін оголосив війну Україні",Путін оголосив війну Україні
images/war-and-peace.png,event_ua,Про яку подію йдеться у цьому мемі?,"a) Анонсовано Iphone 16
b) Російська влада заборонила називати російське вторгнення &quot;війною&quot;. Це спеціальна військова операція
c) Український борщ внесли до списку культурної спадщини ЮНЕСКО
d) Російська армія зазнає значних втрат",Російська влада заборонила називати російське вторгнення &quot;війною&quot;. Це спеціальна військова операція
images/war-and-peace.png,event_ua,Про яку подію йдеться у цьому мемі?,"a) Російська влада заборонила називати російське вторгнення &quot;війною&quot;. Це спеціальна військова операція
b) Російська армія під час відступу з Херсона викрала єнота з місцевого зоопарку
c) Українці успішно використовують HIMARS для ударів по ворогу
d) Орландо Блум відвідав Київ",Російська влада заборонила називати російське вторгнення &quot;війною&quot;. Це спеціальна військова операція
images/war-and-peace.png,event_ua,Про яку подію йдеться у цьому мемі?,"a) Російська влада заборонила називати російське вторгнення &quot;війною&quot;. Це спеціальна військова операція
b) Російська армія не змогла здобути Київ
c) Всупереч очікуванням західних експертів і політиків, Україна не піддалася російському вторгненню
d) Коли російські війська відступали з Київщини, вони вкрали все: від телевізорів до туалетів і пральних машин",Російська влада заборонила називати російське вторгнення &quot;війною&quot;. Це спеціальна військова операція
images/war-and-peace.png,event_ua,Про яку подію йдеться у цьому мемі?,"a) Однак Пригожин, мабуть, домовився з Путіним і вирішив повернути назад, незважаючи на те, що він дуже близький до Москви.
b) Росія завдала масованого ракетного удару по Україні в перші дні 2024 року
c) В ООН засудили атаку України на об&#39;єкти в Татарстані
d) Російська влада заборонила називати російське вторгнення &quot;війною&quot;. Це спеціальна військова операція",Російська влада заборонила називати російське вторгнення &quot;війною&quot;. Це спеціальна військова операція
images/war-and-peace.png,event_ua,Про яку подію йдеться у цьому мемі?,"a) Всупереч очікуванням західних експертів і політиків, Україна не піддалася російському вторгненню
b) Українці з надією дивляться на прийдешній рік
c) Ситуація виглядала досить критичною для Російської держави
d) Російська влада заборонила називати російське вторгнення &quot;війною&quot;. Це спеціальна військова операція",Російська влада заборонила називати російське вторгнення &quot;війною&quot;. Це спеціальна військова операція
images/war-and-peace.png,event_ua,Про яку подію йдеться у цьому мемі?,"a) Публікація фейкових новин про викладання портретів біля трупів російських солдатів
b) Відступ російської армії з Харківщини
c) Фінляндія вступила в НАТО
d) Російська влада заборонила називати російське вторгнення &quot;війною&quot;. Це спеціальна військова операція",Російська влада заборонила називати російське вторгнення &quot;війною&quot;. Це спеціальна військова операція
